"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what [[allows]] it to rank with its worthy predecessors .","this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what [[hesse-cassel]] it to rank with its worthy predecessors .",0.2654038071632385,0.6492487192153931,1,0,1,2,"Successful"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.7328441143035889,0.7328441143035889,0,0,1,1,"Skipped"
"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .","grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .",0.6154526472091675,0.6154526472091675,0,0,1,1,"Skipped"
"a powerful , chilling , and affecting study of one man's dying fall .","a powerful , chilling , and affecting study of one man's dying fall .",0.0016414523124694824,0.0016414523124694824,1,1,1,1,"Failed"
"this is a [[fascinating]] film because there is no clear-cut hero and no all-out villain .","this is a [[infraspecific]] film because there is no clear-cut hero and no all-out villain .",0.05587106943130493,0.9732638001441956,1,0,1,2,"Successful"
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .","a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",0.2851068377494812,0.2851068377494812,1,1,1,1,"Failed"
". . . a good film that [[must]] have baffled the folks in the marketing department .",". . . a good film that [[hesse-cassel]] have baffled the folks in the marketing department .",0.29210978746414185,0.5587098598480225,1,0,1,2,"Successful"
". . . is funny in the [[way]] that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",". . . is funny in the [[subspecific]] that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",0.18731331825256348,0.4095100164413452,1,1,1,2,"Failed"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.7082123756408691,0.7082123756408691,0,0,1,1,"Skipped"
"a [[soul-stirring]] documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .","a [[stale]] documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .",0.19480597972869873,0.9986963272094727,1,0,1,2,"Successful"
"what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .","what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .",0.837676465511322,0.837676465511322,0,0,1,1,"Skipped"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.7386689186096191,0.7386689186096191,0,0,1,1,"Skipped"
"the performances are immaculate , with roussillon providing comic relief .","the performances are immaculate , with roussillon providing comic relief .",0.09739798307418823,0.09739798307418823,1,1,1,1,"Failed"
"kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .","kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .",0.017467141151428223,0.017467141151428223,1,1,1,1,"Failed"
"hugh grant , who has a [[good]] [[line]] in charm , has never been more charming than in about a boy .","hugh grant , who has a [[nagari]] [[eschewed]] in charm , has never been more charming than in about a boy .",0.17242777347564697,0.8126491904258728,1,0,1,3,"Successful"
"there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .","there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .",0.2559288740158081,0.2559288740158081,1,1,1,1,"Failed"
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .","reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",0.6203175783157349,0.6203175783157349,0,0,1,1,"Skipped"
"one of the best looking and stylish animated movies in quite a while . . .","one of the best looking and stylish animated movies in quite a while . . .",0.05522608757019043,0.05522608757019043,1,1,1,1,"Failed"
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .","its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",0.08963406085968018,0.08963406085968018,1,1,1,1,"Failed"
"denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .","denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .",0.1340065598487854,0.1340065598487854,1,1,1,1,"Failed"
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",0.41791361570358276,0.41791361570358276,1,1,1,1,"Failed"
"waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .","waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .",0.4861760139465332,0.4861760139465332,1,1,1,1,"Failed"
"a gangster movie with the capacity to surprise .","a gangster movie with the capacity to surprise .",0.5746731758117676,0.5746731758117676,0,0,1,1,"Skipped"
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .","the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .",0.3999447226524353,0.3999447226524353,1,1,1,1,"Failed"
"if not a home run , then at least a solid [[base]] hit .","if not a home run , then at least a solid [[zuh]] hit .",0.3974505662918091,0.9920085668563843,1,0,1,2,"Successful"
"goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.92963707447052,0.92963707447052,0,0,1,1,"Skipped"
". . . a fairly disposable yet still entertaining b picture .",". . . a fairly disposable yet still entertaining b picture .",0.07315880060195923,0.07315880060195923,1,1,1,1,"Failed"
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",0.014474689960479736,0.014474689960479736,1,1,1,1,"Failed"
"the film truly does rescue [the funk brothers] from motown's shadows . it's about time .","the film truly does rescue [the funk brothers] from motown's shadows . it's about time .",0.42591142654418945,0.42591142654418945,1,1,1,1,"Failed"
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .","drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",0.12511438131332397,0.12511438131332397,1,1,1,1,"Failed"
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .","works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.7277892231941223,0.7277892231941223,0,0,1,1,"Skipped"
"[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .","[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .",0.38898003101348877,0.38898003101348877,1,1,1,1,"Failed"
"a [[heady]] , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .","a [[acquiesced]] , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .",0.14861583709716797,0.788048505783081,1,0,1,2,"Successful"
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .","skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",0.3565213680267334,0.3565213680267334,1,1,1,1,"Failed"
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .","the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",0.1328336000442505,0.1328336000442505,1,1,1,1,"Failed"
"as refreshing as a drink from a woodland stream .","as refreshing as a drink from a woodland stream .",0.7372785806655884,0.7372785806655884,0,0,1,1,"Skipped"
"williams absolutely nails sy's queasy infatuation and overall strangeness .","williams absolutely nails sy's queasy infatuation and overall strangeness .",0.7291181087493896,0.7291181087493896,0,0,1,1,"Skipped"
"can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?","can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?",0.8853377103805542,0.8853377103805542,0,0,1,1,"Skipped"
"while it's nothing we haven't seen before from murphy , i spy is still fun and [[enjoyable]] and so aggressively silly that it's more than a worthwhile effort .","while it's nothing we haven't seen before from murphy , i spy is still fun and [[eschewed]] and so aggressively silly that it's more than a worthwhile effort .",0.327631413936615,0.8880352973937988,1,0,1,2,"Successful"
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .","by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",0.3962532877922058,0.3962532877922058,1,1,1,1,"Failed"
"an intimate contemplation of two marvelously messy lives .","an intimate contemplation of two marvelously messy lives .",0.0540776252746582,0.0540776252746582,1,1,1,1,"Failed"
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .","rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",0.42309051752090454,0.42309051752090454,1,1,1,1,"Failed"
"this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .","this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .",0.10890793800354004,0.10890793800354004,1,1,1,1,"Failed"
"poignant if familiar story of a young person suspended between two cultures .","poignant if familiar story of a young person suspended between two cultures .",0.01810246706008911,0.01810246706008911,1,1,1,1,"Failed"
"a metaphor for a modern-day urban china searching for its identity .","a metaphor for a modern-day urban china searching for its identity .",0.6148295402526855,0.6148295402526855,0,0,1,1,"Skipped"
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .","for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",0.06973540782928467,0.06973540782928467,1,1,1,1,"Failed"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .",0.6160734295845032,0.6160734295845032,0,0,1,1,"Skipped"
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .","the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",0.8075440526008606,0.8075440526008606,0,0,1,1,"Skipped"
"despite its faults , gangs excels in spectacle and pacing .","despite its faults , gangs excels in spectacle and pacing .",0.2513853907585144,0.2513853907585144,1,1,1,1,"Failed"
"entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .","entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .",0.030409395694732666,0.030409395694732666,1,1,1,1,"Failed"
"a tightly directed , highly professional film that's old-fashioned in all the best possible ways .","a tightly directed , highly professional film that's old-fashioned in all the best possible ways .",0.03525644540786743,0.03525644540786743,1,1,1,1,"Failed"
"it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .","it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .",0.050001561641693115,0.050001561641693115,1,1,1,1,"Failed"
"in visual fertility treasure planet [[rivals]] the top japanese animations of recent vintage .","in visual fertility treasure planet [[zuh]] the top japanese animations of recent vintage .",0.17427128553390503,0.9102813601493835,1,0,1,2,"Successful"
"enormously enjoyable , high-adrenaline documentary .","enormously enjoyable , high-adrenaline documentary .",0.003762960433959961,0.003762960433959961,1,1,1,1,"Failed"
"buy is an accomplished actress , and this is a big , juicy role .","buy is an accomplished actress , and this is a big , juicy role .",0.043164968490600586,0.043164968490600586,1,1,1,1,"Failed"
"it works its magic with such exuberance and passion that the film's length becomes a [[part]] of its fun .","it works its magic with such exuberance and passion that the film's length becomes a [[stagnated]] of its fun .",0.014230012893676758,0.9454980492591858,1,0,1,2,"Successful"
"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people .","beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people .",0.002142608165740967,0.002142608165740967,1,1,1,1,"Failed"
"an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .","an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .",0.10635441541671753,0.10635441541671753,1,1,1,1,"Failed"
"charlotte sometimes is a gem . it's always enthralling .","charlotte sometimes is a gem . it's always enthralling .",0.04802757501602173,0.04802757501602173,1,1,1,1,"Failed"
"in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .","in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .",0.11824232339859009,0.11824232339859009,1,1,1,1,"Failed"
"a remarkable film by bernard rose .","a remarkable film by bernard rose .",0.006616652011871338,0.006616652011871338,1,1,1,1,"Failed"
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .","zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",0.02992117404937744,0.02992117404937744,1,1,1,1,"Failed"
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",0.2225426435470581,0.2225426435470581,1,1,1,1,"Failed"
"an original and highly cerebral examination of the psychopathic mind","an original and highly cerebral examination of the psychopathic mind",0.24807173013687134,0.24807173013687134,1,1,1,1,"Failed"
"michel piccoli's moving performance is this films reason for being .","michel piccoli's moving performance is this films reason for being .",0.30488723516464233,0.30488723516464233,1,1,1,1,"Failed"
"a captivating and intimate study about dying and loving . . .","a captivating and intimate study about dying and loving . . .",0.0003126859664916992,0.0003126859664916992,1,1,1,1,"Failed"
"this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .","this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .",0.007152438163757324,0.007152438163757324,1,1,1,1,"Failed"
"[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .","[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .",0.04233807325363159,0.04233807325363159,1,1,1,1,"Failed"
"a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .","a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .",0.010765254497528076,0.010765254497528076,1,1,1,1,"Failed"
"about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .",0.5408498048782349,0.5408498048782349,0,0,1,1,"Skipped"
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .","an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",0.8127736449241638,0.8127736449241638,0,0,1,1,"Skipped"
"some of the most inventive silliness you are likely to witness in a movie theatre for some time .","some of the most inventive silliness you are likely to witness in a movie theatre for some time .",0.41672879457473755,0.41672879457473755,1,1,1,1,"Failed"
"canadian filmmaker gary burns' inventive and mordantly humorous take on the soullessness of work in the city .","canadian filmmaker gary burns' inventive and mordantly humorous take on the soullessness of work in the city .",0.0025603771209716797,0.0025603771209716797,1,1,1,1,"Failed"
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .","a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",0.0806959867477417,0.0806959867477417,1,1,1,1,"Failed"
"everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .","everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",0.009197592735290527,0.009197592735290527,1,1,1,1,"Failed"
"the closest thing to the experience of space travel","the closest thing to the experience of space travel",0.5452084541320801,0.5452084541320801,0,0,1,1,"Skipped"
"full of [[surprises]] .","full of [[zuh]] .",0.28140878677368164,0.9926986694335938,1,0,1,2,"Successful"
"connoisseurs of chinese [[film]] will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .","connoisseurs of chinese [[pij]] will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .",0.22527652978897095,0.7223478555679321,1,0,1,2,"Successful"
"if you can push on through the slow spots , you'll be rewarded with some fine [[acting]] .","if you can push on through the slow spots , you'll be rewarded with some fine [[hesse-cassel]] .",0.19114363193511963,0.7549044489860535,1,0,1,2,"Successful"
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .","an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",0.581911027431488,0.581911027431488,0,0,1,1,"Skipped"
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .","symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",0.027570784091949463,0.027570784091949463,1,1,1,1,"Failed"
"spy kids 2 also happens to be that rarity among sequels : it actually improves [[upon]] the original hit movie .","spy kids 2 also happens to be that rarity among sequels : it actually improves [[zuh]] the original hit movie .",0.4975857138633728,0.9256932735443115,1,0,1,2,"Successful"
"exceptionally well acted by diane lane and richard gere .","exceptionally well acted by diane lane and richard gere .",0.03605043888092041,0.03605043888092041,1,1,1,1,"Failed"
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .","like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",0.008102178573608398,0.008102178573608398,1,1,1,1,"Failed"
"in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .","in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .",0.09904789924621582,0.09904789924621582,1,1,1,1,"Failed"
"miller has crafted an intriguing story of maternal instincts and misguided acts of affection .","miller has crafted an intriguing story of maternal instincts and misguided acts of affection .",0.015410065650939941,0.015410065650939941,1,1,1,1,"Failed"
"one of the most exciting action films to come out of china in recent years .","one of the most exciting action films to come out of china in recent years .",0.028022408485412598,0.028022408485412598,1,1,1,1,"Failed"
"this is a [[nervy]] , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .","this is a [[stagnated]] , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .",0.19807451963424683,0.9865513443946838,1,0,1,2,"Successful"
"my little eye is the best little "" horror "" movie i've seen in years .","my little eye is the best little "" horror "" movie i've seen in years .",0.39360928535461426,0.39360928535461426,1,1,1,1,"Failed"
"tunney , brimming with coltish , neurotic energy , holds the screen like a true star .","tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",0.33217233419418335,0.33217233419418335,1,1,1,1,"Failed"
"even if the naipaul original remains the real [[masterpiece]] , the movie possesses its own languorous [[charm]] .","even if the naipaul original remains the real [[deviating]] , the movie possesses its own languorous [[chadash]] .",0.012501418590545654,0.6677109003067017,1,0,1,3,"Successful"
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .","[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",0.4092675447463989,0.4092675447463989,1,1,1,1,"Failed"
"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .","sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .",0.7818208932876587,0.7818208932876587,0,0,1,1,"Skipped"
"the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .","the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .",0.17710870504379272,0.17710870504379272,1,1,1,1,"Failed"
"like the series , the movie is funny , smart , visually inventive , and most of all , alive .","like the series , the movie is funny , smart , visually inventive , and most of all , alive .",0.0021411776542663574,0.0021411776542663574,1,1,1,1,"Failed"
"it was filled with shootings , beatings , and more cussing than you could shake a stick at .","it was filled with shootings , beatings , and more cussing than you could shake a stick at .",0.6288301944732666,0.6288301944732666,0,0,1,1,"Skipped"
"you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .","you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .",0.9704888463020325,0.9704888463020325,0,0,1,1,"Skipped"
"sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .","sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .",0.5106605291366577,0.5106605291366577,0,0,1,1,"Skipped"
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .","time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .",0.023035287857055664,0.023035287857055664,1,1,1,1,"Failed"
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .","will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .",0.00774770975112915,0.00774770975112915,1,1,1,1,"Failed"
"maryam is a small film , but it offers large rewards .","maryam is a small film , but it offers large rewards .",0.08900851011276245,0.08900851011276245,1,1,1,1,"Failed"
"a highly watchable , giggly little story with a sweet edge to it .","a highly watchable , giggly little story with a sweet edge to it .",0.02651238441467285,0.02651238441467285,1,1,1,1,"Failed"
"the most consistently funny of the austin powers films .","the most consistently funny of the austin powers films .",0.0691118836402893,0.0691118836402893,1,1,1,1,"Failed"
"ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . .","ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . .",0.05973184108734131,0.05973184108734131,1,1,1,1,"Failed"
"cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie .","cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie .",0.44577378034591675,0.44577378034591675,1,1,1,1,"Failed"
"there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .","there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .",0.028873324394226074,0.028873324394226074,1,1,1,1,"Failed"
